activity subject tBodyAcc-mean()-X tBodyAcc-mean()-Y tBodyAcc-mean()-Z tBodyAcc-std()-X tBodyAcc-std()-Y tBodyAcc-std()-Z tGravityAcc-mean()-X tGravityAcc-mean()-Y tGravityAcc-mean()-Z tGravityAcc-std()-X tGravityAcc-std()-Y tGravityAcc-std()-Z tBodyAccJerk-mean()-X tBodyAccJerk-mean()-Y tBodyAccJerk-mean()-Z tBodyAccJerk-std()-X tBodyAccJerk-std()-Y tBodyAccJerk-std()-Z tBodyGyro-mean()-X tBodyGyro-mean()-Y tBodyGyro-mean()-Z tBodyGyro-std()-X tBodyGyro-std()-Y tBodyGyro-std()-Z tBodyGyroJerk-mean()-X tBodyGyroJerk-mean()-Y tBodyGyroJerk-mean()-Z tBodyGyroJerk-std()-X tBodyGyroJerk-std()-Y tBodyGyroJerk-std()-Z tBodyAccMag-mean() tBodyAccMag-std() tGravityAccMag-mean() tGravityAccMag-std() tBodyAccJerkMag-mean() tBodyAccJerkMag-std() tBodyGyroMag-mean() tBodyGyroMag-std() tBodyGyroJerkMag-mean() tBodyGyroJerkMag-std() fBodyAcc-mean()-X fBodyAcc-mean()-Y fBodyAcc-mean()-Z fBodyAcc-std()-X fBodyAcc-std()-Y fBodyAcc-std()-Z fBodyAccJerk-mean()-X fBodyAccJerk-mean()-Y fBodyAccJerk-mean()-Z fBodyAccJerk-std()-X fBodyAccJerk-std()-Y fBodyAccJerk-std()-Z fBodyGyro-mean()-X fBodyGyro-mean()-Y fBodyGyro-mean()-Z fBodyGyro-std()-X fBodyGyro-std()-Y fBodyGyro-std()-Z fBodyAccMag-mean() fBodyAccMag-std() fBodyBodyAccJerkMag-mean() fBodyBodyAccJerkMag-std() fBodyBodyGyroMag-mean() fBodyBodyGyroMag-std() fBodyBodyGyroJerkMag-mean() fBodyBodyGyroJerkMag-std()
LAYING             23 0.2734933 -0.01958926 -0.1090940 -0.6225940 -0.5320785 -0.4505572 0.6623247  0.01462092  0.05186625 -0.9643930 -0.9603189 -0.9342361 0.07785882  0.0200470965 -0.0007176809 -0.6081838 -0.6189812 -0.6030488 -0.0220890418 -0.08259730 0.07469494 -0.7557386 -0.5003382 -0.6096835 -0.09669907 -0.04327227 -0.06219591 -0.7286921 -0.5460436 -0.7405181 -0.53275476 -0.5655756 -0.53275476 -0.5655756 -0.5864007 -0.5587253 -0.544207964 -0.54194907 -0.6234126 -0.5739429 -0.5990809 -0.5484832 -0.4902128 -0.6338391 -0.55447168 -0.4747675 -0.6175218 -0.6282313 -0.5788708 -0.6350544 -0.6369776 -0.6275404 -0.6851365 -0.4977838 -0.6176854 -0.7791971 -0.5078505 -0.6441310 -0.5290293 -0.6570489 -0.5426633 -0.5838323 -0.5346572 -0.6322885 -0.5841110 -0.5937353
WALKING_UPSTAIRS   24 0.2767670 -0.01768225 -0.1079145 -0.6754592 -0.5824907 -0.6364975 0.6949813  0.07295097  0.06232277 -0.9753297 -0.9608982 -0.9557246 0.07847350  0.0039690031 -0.0070096056 -0.7403005 -0.6859798 -0.7363742 -0.0212578097 -0.07824402 0.08417404 -0.7761990 -0.7633655 -0.7082517 -0.09982942 -0.03907494 -0.05529877 -0.7644900 -0.7927187 -0.7968165 -0.62003267 -0.6508621 -0.62003267 -0.6508621 -0.7136674 -0.6893912 -0.682447213 -0.74298313 -0.7916466 -0.7889979 -0.7076138 -0.6115090 -0.6558590 -0.6643567 -0.59467679 -0.6553605 -0.7522454 -0.7036416 -0.7196557 -0.7513782 -0.6882805 -0.7516287 -0.7226074 -0.7537105 -0.7094886 -0.7940635 -0.7719698 -0.7357499 -0.6501219 -0.7059284 -0.6968456 -0.6824471 -0.7541316 -0.7820763 -0.7950192 -0.7961573
LAYING             25 0.2753015 -0.01932218 -0.1096290 -0.7162645 -0.5314210 -0.6470956 0.6723866  0.04716014  0.23922604 -0.9500171 -0.9010888 -0.8806823 0.08176574  0.0063863388 -0.0103461715 -0.7968234 -0.7225029 -0.8606694 -0.0029815116 -0.08390035 0.09936061 -0.6831320 -0.7522610 -0.7474102 -0.10826388 -0.03898848 -0.05557822 -0.7686825 -0.9026281 -0.8318487 -0.58337775 -0.6590155 -0.58337775 -0.6590155 -0.7834454 -0.7804519 -0.625733064 -0.68515279 -0.8496307 -0.8727762 -0.7484165 -0.6000277 -0.7385099 -0.7052237 -0.52906465 -0.6302246 -0.8041446 -0.7405703 -0.8495048 -0.8077125 -0.7217077 -0.8705415 -0.6721978 -0.8131338 -0.7468322 -0.6903985 -0.7235844 -0.7712089 -0.6950197 -0.6953679 -0.7791901 -0.7835472 -0.7542361 -0.6972131 -0.8759707 -0.8777150
LAYING             26 0.2666651 -0.01266046 -0.1032197 -0.7895194 -0.7594472 -0.8142499 0.5284811  0.18103584  0.29737237 -0.9640828 -0.9681455 -0.9613159 0.08142247  0.0121608810 -0.0049743495 -0.8183968 -0.8056253 -0.8469342 -0.0244980085 -0.08121371 0.09944177 -0.8597084 -0.8819991 -0.8190877 -0.10142102 -0.04074655 -0.05827756 -0.8457074 -0.9000855 -0.8608921 -0.76330054 -0.7917643 -0.76330054 -0.7917643 -0.8136163 -0.8107305 -0.817365101 -0.85282758 -0.8785478 -0.8944924 -0.7980850 -0.7645787 -0.8194688 -0.7866845 -0.77191616 -0.8265321 -0.8288857 -0.8136701 -0.8411406 -0.8237918 -0.8103308 -0.8513476 -0.8278823 -0.8817447 -0.8085033 -0.8700236 -0.8837604 -0.8396597 -0.7973733 -0.8216112 -0.8110551 -0.8113000 -0.8665929 -0.8694533 -0.8959423 -0.9004181
WALKING            26 0.2770719 -0.01839063 -0.1104361 -0.5177027 -0.4760965 -0.6357768 0.6699971  0.06289511  0.19403895 -0.9701834 -0.9543733 -0.9520507 0.08052717  0.0048373717 -0.0086894804 -0.5969476 -0.5978021 -0.7349125 -0.0182291504 -0.08370911 0.08693625 -0.7077521 -0.7491705 -0.6300449 -0.09716054 -0.04030531 -0.05427706 -0.6605102 -0.7955957 -0.7175008 -0.49809903 -0.5117971 -0.49809903 -0.5117971 -0.6197422 -0.5930004 -0.616844952 -0.68787090 -0.7475187 -0.7700107 -0.5579937 -0.5127957 -0.6636117 -0.5038158 -0.49156862 -0.6500641 -0.6174139 -0.6226622 -0.7242343 -0.6123122 -0.5980420 -0.7446934 -0.6240868 -0.7471717 -0.6139758 -0.7350768 -0.7528895 -0.6702548 -0.5268666 -0.5803786 -0.5958197 -0.5936188 -0.7096492 -0.7276327 -0.7782166 -0.7755878
WALKING            27 0.2772646 -0.01679692 -0.1108483 -0.6609761 -0.6304605 -0.6832153 0.6272301  0.03224239  0.14116870 -0.9746202 -0.9725052 -0.9592004 0.07683204  0.0061771499 -0.0049500061 -0.7005500 -0.6747923 -0.7836321 -0.0608887603 -0.05521779 0.10894709 -0.7958536 -0.8020487 -0.6741285 -0.08930660 -0.04504145 -0.05862547 -0.8210758 -0.8373202 -0.7829456 -0.62794774 -0.6778742 -0.62794774 -0.6778742 -0.7018074 -0.6960034 -0.694016020 -0.75471331 -0.8230677 -0.8372129 -0.6814548 -0.6412678 -0.7154829 -0.6546594 -0.64950667 -0.6921308 -0.7145547 -0.6945097 -0.7685745 -0.7128580 -0.6757448 -0.7973034 -0.7685057 -0.7954340 -0.7027885 -0.8062884 -0.8087918 -0.6971473 -0.6671858 -0.7348831 -0.6885728 -0.7075314 -0.7859536 -0.7778104 -0.8375860 -0.8482600
WALKING            28 0.2775326 -0.01917214 -0.1097109 -0.6490404 -0.5736519 -0.6858214 0.6237679 -0.14757776 -0.04699310 -0.9738733 -0.9603656 -0.9462256 0.08072631  0.0138224437  0.0008242083 -0.6808137 -0.6516198 -0.8008706 -0.0644963546 -0.04714740 0.10084028 -0.7402766 -0.7412855 -0.6697897 -0.08812136 -0.04479726 -0.06076807 -0.7205157 -0.8250388 -0.7697560 -0.61003090 -0.6358212 -0.61003090 -0.6358212 -0.6894294 -0.6877034 -0.648538641 -0.71095681 -0.7892949 -0.8057384 -0.6541565 -0.5849325 -0.7151345 -0.6478072 -0.59511047 -0.6957673 -0.6867238 -0.6707181 -0.7790617 -0.7040734 -0.6548559 -0.8217155 -0.6743567 -0.7470679 -0.6735139 -0.7620310 -0.7408195 -0.7002913 -0.6287632 -0.6969940 -0.6754287 -0.7064158 -0.7379081 -0.7437846 -0.8068822 -0.8184485
WALKING            29 0.2791115 -0.01847195 -0.1086756 -0.5742954 -0.5984003 -0.6064613 0.6830676  0.11548976  0.20821537 -0.9732829 -0.9646432 -0.9416218 0.07883823  0.0090016125 -0.0035529054 -0.6234564 -0.6354998 -0.7937468 -0.0101831911 -0.08828833 0.08816263 -0.7346993 -0.6345692 -0.7138646 -0.10070775 -0.04643220 -0.05278600 -0.7361177 -0.8536396 -0.7702213 -0.55358559 -0.5790672 -0.55358559 -0.5790672 -0.6645381 -0.6204720 -0.602228994 -0.65373230 -0.8022939 -0.8401564 -0.5799010 -0.5876863 -0.6805477 -0.5727879 -0.63097884 -0.6025509 -0.6298759 -0.6412891 -0.7684339 -0.6515642 -0.6555261 -0.8182928 -0.6857474 -0.7359723 -0.6892214 -0.7525678 -0.5888580 -0.7491632 -0.5892940 -0.6393142 -0.6098799 -0.6364345 -0.7220184 -0.6714543 -0.8404642 -0.8514624
WALKING            30 0.2760805 -0.01759740 -0.1056581 -0.6188935 -0.5223492 -0.5286663 0.6950943  0.05352582  0.18593732 -0.9743664 -0.9521199 -0.9301486 0.07367649  0.0077552672  0.0002554381 -0.6815965 -0.6626882 -0.7824902 -0.0339625633 -0.07175050 0.08302463 -0.6727277 -0.5442945 -0.5923922 -0.09328119 -0.04152637 -0.04877687 -0.7814988 -0.8000324 -0.7644857 -0.54223362 -0.5912920 -0.54223362 -0.5912920 -0.6990486 -0.6612533 -0.513983684 -0.57789912 -0.7869948 -0.8112516 -0.6380068 -0.5608639 -0.6375665 -0.6124640 -0.53485937 -0.5135640 -0.6875002 -0.6735316 -0.7561943 -0.7046546 -0.6744686 -0.8081234 -0.6691520 -0.6323330 -0.6177257 -0.6784983 -0.5028309 -0.6228040 -0.6027816 -0.6495283 -0.6583159 -0.6672376 -0.6719981 -0.5935834 -0.8121352 -0.8236148
WALKING_DOWNSTAIRS 30 0.3048483 -0.01609226 -0.1357232 -0.2355427 -0.1008151  0.2402766 0.9202797 -0.23449061 -0.01758094 -0.9683243 -0.9736154 -0.8387438 0.04858152 -0.0498076717 -0.1158331340 -0.3510354 -0.4178693 -0.6745254 -0.2204024623 -0.07146278 0.13789997 -0.4529056  0.1328262 -0.2593369 -0.01613350 -0.01139864 -0.12266362 -0.6714040 -0.6615952 -0.6039928 -0.01849022 -0.1911929 -0.01849022 -0.1911929 -0.4439094 -0.3700254 -0.009581677 -0.05195161 -0.6435127 -0.7023427 -0.3371326 -0.2577985 -0.3046224 -0.2007325 -0.08319016  0.3792844 -0.4076032 -0.4363299 -0.6589046 -0.3503255 -0.4387258 -0.6883166 -0.4478038 -0.3230872 -0.3590317 -0.4619315  0.3296125 -0.2971732 -0.2951623 -0.2658323 -0.4060273 -0.3305355 -0.3659107 -0.0330311 -0.7045235 -0.7203044
